stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
MS0768,0768,Is Maglias ( Azuni),,39.231755735067964,9.104315815884237,,https://www.ctmcagliari.it/fermate/fermata-MS0768,,,,1
NZ0964,0964,Nazionale (biblioteca),,39.253673709401264,9.179316712120847,,https://www.ctmcagliari.it/fermate/fermata-NZ0964,,,,2
PC0657,0657,Fermata Giorgino GdF,,39.210612117906064,9.080555335857777,,https://www.ctmcagliari.it/fermate/fermata-PC0657,,,,2
PL0199,0199,Paoli (ang. via Settembrini),,39.220239034603964,9.123407844382327,,https://www.ctmcagliari.it/fermate/fermata-PL0199,,,,1
PM0028,0028,Matteotti (Fronte Stazione ARST - capolinea PQ),,39.215535147845964,9.109292014550387,,https://www.ctmcagliari.it/fermate/fermata-PM0028,,,,1
RV0238,0238,Riva Villasanta (ang. via dei Grilli),,39.237723096507164,9.125071940663087,,https://www.ctmcagliari.it/fermate/fermata-RV0238,,,,1
SI0477,0477,Sicilia (ang. via Arborea),,39.244985563256964,9.188868229413437,,https://www.ctmcagliari.it/fermate/fermata-SI0477,,,,1
SV2068,2068,San Vincenzo (lato civico 45),,39.226586357133464,9.115529170549357,,https://www.ctmcagliari.it/fermate/fermata-SV2068,,,,1
TS1149,1149,Tamburino Sardo (ang. via Pirandello),,39.250832269139864,9.118158502064837,,https://www.ctmcagliari.it/fermate/fermata-TS1149,,,,1
AL0017,0017,Alghero (ang. via Sonnino),,39.217793968866064,9.122056546823527,,https://www.ctmcagliari.it/fermate/fermata-AL0017,,,,1
AU2007,2007,Dalla Chiesa (fronte via Austria),,39.235023054283764,9.210409575985057,,https://www.ctmcagliari.it/fermate/fermata-AU2007,,,,1
CB0479,0479,Cabras (ang. via Italia),,39.252461136144264,9.136572432605897,,https://www.ctmcagliari.it/fermate/fermata-CB0479,,,,1
IM0099,0099,Is Mirrionis (Ospedale),,39.236159022144464,9.107706879646037,,https://www.ctmcagliari.it/fermate/fermata-IM0099,,,,0
MI0285,0285,Milano (ang. via Grosseto),,39.207858859345164,9.130783057550917,,https://www.ctmcagliari.it/fermate/fermata-MI0285,,,,1
NA0625,0625,Nazionale (chiesa),,39.309835871963664,8.963291933075637,,https://www.ctmcagliari.it/fermate/fermata-NA0625,,,,1
PI0703,0703,Piemonte (fronte via Ciusa),,39.239931813822264,9.198852034461107,,https://www.ctmcagliari.it/fermate/fermata-PI0703,,,,2
PY0056,0056,Yenne (fronte via Azuni),,39.217995923254364,9.113603200219287,,https://www.ctmcagliari.it/fermate/fermata-PY0056,,,,2
QR0098,0098,Quirra (fronte mercato),,39.239016334525364,9.106804875572007,,https://www.ctmcagliari.it/fermate/fermata-QR0098,,,,1
RL0066,0066,Regina Elena (Terrapieno),,39.222172846624764,9.118145548633957,,https://www.ctmcagliari.it/fermate/fermata-RL0066,,,,2
RT0748,0748,Regina Margherita (ex Manifattura Tabacchi),,39.213303538263864,9.116122408670687,,https://www.ctmcagliari.it/fermate/fermata-RT0748,,,,1
SG1020,1020,San Giovanni (altezza civico 361),,39.223684843536664,9.119957528338877,,https://www.ctmcagliari.it/fermate/fermata-SG1020,,,,2
ZU0532,0532,Zuddas (ang. via vico Zuddas),,39.252472381590264,9.145875848293007,,https://www.ctmcagliari.it/fermate/fermata-ZU0532,,,,2
AD0265,0265,Diaz (uffici Abbanoa),,39.210177732557964,9.119568604632987,,https://www.ctmcagliari.it/fermate/fermata-AD0265,,,,1
AL0018,0018,Alghero (ang. via Satta),,39.217708431139264,9.121992685954707,,https://www.ctmcagliari.it/fermate/fermata-AL0018,,,,1
BR0916,0916,Brigata Sassari (ang. via Milano),,39.242926489065464,9.180384794377267,,https://www.ctmcagliari.it/fermate/fermata-BR0916,,,,2
CA607,607,Cagliari (fronte via Principe di Piemonte),,39.288472125548464,9.003379470024887,,https://www.ctmcagliari.it/fermate/fermata-CA607,,,,0
CD0090,0090,Cadello (parco),,39.235811179942264,9.113421331732497,,https://www.ctmcagliari.it/fermate/fermata-CD0090,,,,1
CI1253,1253,Cimitero (ang. via Marconi),,39.245253299887464,9.193195503162817,,https://www.ctmcagliari.it/fermate/fermata-CI1253,,,,1
DD0807,0807,Deliperi (scuola),,39.251610764165864,9.099929550458907,,https://www.ctmcagliari.it/fermate/fermata-DD0807,,,,0
DV0423,0423,L. da Vinci (ang. via Taormina),,39.219119097575664,9.273147825625787,,https://www.ctmcagliari.it/fermate/fermata-DV0423,,,,1
GC0836,0836,Giulio Cesare (ang. via del Redentore),,39.258637124017564,9.141205914847527,,https://www.ctmcagliari.it/fermate/fermata-GC0836,,,,2
MA0220,0220,Marconi (Scuola Foscolo),,39.229321191692364,9.132461235825077,,https://www.ctmcagliari.it/fermate/fermata-MA0220,,,,1
PF0626,0626,Piero della Francesca (fronte Centro Commerciale) ,,39.252998975594764,9.102520273619927,,https://www.ctmcagliari.it/fermate/fermata-PF0626,,,,1
SD0639,0639,Cagliari (seconda fermata Ass -> Dec),,39.301707407795964,8.978799768887587,,https://www.ctmcagliari.it/fermate/fermata-SD0639,,,,2
AF0613,0613,Africa (fronte Via Manin),,39.294360645284364,8.991399719508167,,https://www.ctmcagliari.it/fermate/fermata-AF0613,,,,1
AG0819,0819,Argentina (scuola),,39.262939002622564,9.134305237534417,,https://www.ctmcagliari.it/fermate/fermata-AG0819,,,,1
